date,aqs_site_id,poc,daily_max_8_hour_co_concentration,units,daily_aqi_value,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_desc,cbsa_code,cbsa_name,state_code,state,county_code,county,site_latitude,site_longitude,site_location
1980-03-21,10730024,true,4.3,ppm,49,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-22,10730024,true,4.5,ppm,51,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-23,10730024,true,3.4,ppm,39,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-24,10730024,true,2.7,ppm,31,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-25,10730024,true,5,ppm,56,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-26,10730024,true,7.1,ppm,77,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-27,10730024,true,4.4,ppm,50,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-28,10730024,true,3.3,ppm,38,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-29,10730024,true,2.7,ppm,31,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-30,10730024,true,1.3,ppm,15,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-03-31,10730024,true,5.2,ppm,58,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-02,10730024,true,5.9,ppm,65,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-03,10730024,true,4.9,ppm,55,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-04,10730024,true,5.7,ppm,63,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-05,10730024,true,5.3,ppm,59,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-06,10730024,true,4,ppm,45,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-07,10730024,true,2.9,ppm,33,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-08,10730024,true,2,ppm,23,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-09,10730024,true,2.9,ppm,33,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-10,10730024,true,5.6,ppm,62,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-11,10730024,true,5.9,ppm,65,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-12,10730024,true,5.2,ppm,58,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-13,10730024,true,2,ppm,23,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-14,10730024,true,2.2,ppm,25,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-15,10730024,true,3,ppm,34,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-16,10730024,true,4.2,ppm,48,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-17,10730024,true,3.2,ppm,36,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-18,10730024,true,4.2,ppm,48,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-19,10730024,true,3.6,ppm,41,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-20,10730024,true,4,ppm,45,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-21,10730024,true,5.9,ppm,65,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-22,10730024,true,8.5,ppm,91,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-23,10730024,true,8.1,ppm,87,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-24,10730024,true,3.6,ppm,41,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-25,10730024,true,3.1,ppm,35,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-26,10730024,true,2.3,ppm,26,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-27,10730024,true,2.1,ppm,24,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-28,10730024,true,6.8,ppm,74,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-29,10730024,true,4.2,ppm,48,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-04-30,10730024,true,5.6,ppm,62,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-01,10730024,true,4.6,ppm,52,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-02,10730024,true,6.9,ppm,75,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-03,10730024,true,5.9,ppm,65,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-04,10730024,true,4.8,ppm,54,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-05,10730024,true,6.5,ppm,71,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-06,10730024,true,5.1,ppm,57,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-07,10730024,true,2.6,ppm,30,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-09,10730024,true,5.1,ppm,57,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-10,10730024,true,4.2,ppm,48,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-11,10730024,true,0.6,ppm,7,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-12,10730024,true,2,ppm,23,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-13,10730024,true,3,ppm,34,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-14,10730024,true,6.2,ppm,68,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-15,10730024,true,5.4,ppm,60,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-16,10730024,true,5,ppm,56,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-17,10730024,true,2.4,ppm,27,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-18,10730024,true,0.7,ppm,8,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-19,10730024,true,4.5,ppm,51,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-20,10730024,true,5.5,ppm,61,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-22,10730024,true,5.2,ppm,58,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-23,10730024,true,3.4,ppm,39,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-24,10730024,true,4.4,ppm,50,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-25,10730024,true,2.7,ppm,31,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-26,10730024,true,5.1,ppm,57,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-27,10730024,true,5,ppm,56,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-28,10730024,true,5.3,ppm,59,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-29,10730024,true,4.9,ppm,55,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-30,10730024,true,2.4,ppm,27,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-05-31,10730024,true,4,ppm,45,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-01,10730024,true,0.8,ppm,9,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-03,10730024,true,4,ppm,45,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-04,10730024,true,6.5,ppm,71,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-05,10730024,true,3.4,ppm,39,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-06,10730024,true,3.4,ppm,39,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-07,10730024,true,2.1,ppm,24,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-08,10730024,true,1.4,ppm,16,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-09,10730024,true,4.5,ppm,51,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-06-11,10730024,true,4.7,ppm,53,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-13,10730024,true,4.1,ppm,47,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-14,10730024,true,2.8,ppm,32,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-15,10730024,true,6.2,ppm,68,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-16,10730024,true,3.1,ppm,35,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-17,10730024,true,5.4,ppm,60,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-18,10730024,true,6.5,ppm,71,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-19,10730024,true,3.9,ppm,44,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-20,10730024,true,1.4,ppm,16,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-21,10730024,true,0.9,ppm,10,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-22,10730024,true,3.1,ppm,35,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-23,10730024,true,4.9,ppm,55,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-24,10730024,true,5.2,ppm,58,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-25,10730024,true,5.5,ppm,61,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-26,10730024,true,5.2,ppm,58,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-09-27,10730024,true,5.9,ppm,65,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-02,10730024,true,5.2,ppm,58,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-03,10730024,true,5,ppm,56,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-04,10730024,true,2.1,ppm,24,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-05,10730024,true,1.3,ppm,15,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-06,10730024,true,6.1,ppm,67,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-07,10730024,true,8.4,ppm,90,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-08,10730024,true,7.3,ppm,79,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-09,10730024,true,8.4,ppm,90,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-10,10730024,true,8.1,ppm,87,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-11,10730024,true,5.9,ppm,65,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-12,10730024,true,1.7,ppm,19,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-13,10730024,true,5.9,ppm,65,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-14,10730024,true,4.1,ppm,47,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-15,10730024,true,3.1,ppm,35,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-16,10730024,true,2.6,ppm,30,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-17,10730024,true,2.5,ppm,28,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-18,10730024,true,2.6,ppm,30,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-19,10730024,true,1.6,ppm,18,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-20,10730024,true,5.6,ppm,62,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-21,10730024,true,8,ppm,86,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-22,10730024,true,7.1,ppm,77,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-23,10730024,true,3.6,ppm,41,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-24,10730024,true,3.3,ppm,38,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-10-25,10730024,true,3.4,ppm,39,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.514827362,-86.808601042,POINT(-86.808601042 33.514827362)
1980-07-09,10730027,true,1.9,ppm,22,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.498438648,-86.810545849,POINT(-86.810545849 33.498438648)
1980-07-10,10730027,true,2,ppm,23,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.498438648,-86.810545849,POINT(-86.810545849 33.498438648)
1980-07-11,10730027,true,1.3,ppm,15,24,100.0000,42101,Carbon monoxide,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.498438648,-86.810545849,POINT(-86.810545849 33.498438648)
